District,Latitude,Longitude,Month,Month1,Year,Monthly_cases,X21,X22,X23,X24,X25,X26,X27,X28,X29,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,,,,,,,,,,
Bogura,21.8311,92.3686,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.51,485.51,3539293,18.2,73.69,1.2,4,99,311.457784,2322.837996,0.90 ,5.5,52,2912.594162,191.9472367,2055.69361,,,,,,,,,,
Brahmanbaria,23.7073,90.4155,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,100.11,485.51,2953208,18.2,73.69,1.2,4.64,99,259.882304,1938.19041,0.90 ,5.5,52,1922.681908,126.7095444,1357.018758,,,,,,,,,,
Chandpur,23.7073,90.4155,February,2,2022,3,19.09,9.67,27.1,76.56,0.29,100.18,485.51,2513838,18.2,73.69,1.2,4.64,99,221.217744,1649.831879,0.90 ,5.5,52,1469.437035,96.83957418,1037.120915,,,,,,,,,,
Chapai Nawabganj,23.7073,90.4155,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.11,485.51,1714249,18.2,73.69,1.2,4,99,150.853912,1125.061619,0.90 ,5.5,52,1685.473879,111.0769423,1189.598582,,,,,,,,,,
Chattogram,22.7004,90.375,February,2,2022,9,17.99,11.76,25.38,70.2,0.31,100.36,485.51,7913366,18.2,73.69,1.2,4.64,99,696.376208,5193.542106,0.90 ,5.5,52,4450.859261,293.3227523,3141.39301,,,,,,,,,,
Chuadanga,22.7004,90.375,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.93,485.51,1174836,18.2,73.69,1.2,4.04,99,103.385568,771.0448668,0.90 ,5.5,52,1165.101675,76.78311311,822.322622,,,,,,,,,,
Cox's Bazar,22.7004,90.375,February,2,2022,43,22.13,15.62,29.61,54.73,2.29,101.28,485.51,5602624,18.2,73.69,1.2,4.64,99,493.030912,3677.002131,0.90 ,5.5,52,2172.97806,143.2046866,1533.676463,,,,,,,,,,
Cumilla,22.1785,90.7101,February,2,2022,1,17.99,11.76,25.38,70.2,0.31,101.4,485.51,2381814,18.2,73.69,1.2,4.64,99,209.599632,1563.184528,0.90 ,5.5,52,3088.030481,203.5089287,2179.515639,,,,,,,,,,
Dhaka,22.1785,90.7101,February,2,2022,69,19.09,9.67,27.1,76.56,0.29,101.19,485.51,12517360,18.2,73.69,1.2,4.04,99,1101.52768,8215.143368,0.90 ,5.5,52,1476.081489,97.27746032,1041.810536,,,,,,,,,,
Dinajpur,22.1785,90.7101,February,2,2022,2,22.13,15.62,29.61,54.73,2.29,101.04,485.51,3109626,18.2,73.69,1.2,4.1,99,273.647088,2040.847544,0.90 ,5.5,52,3460.164551,228.0334943,2442.165905,,,,,,,,,,
Faridpur,24.851,89.3697,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,100.64,485.51,1988695,18.2,73.69,1.2,4.04,99,175.00516,1305.180529,0.90 ,5.5,52,2043.68922,134.6842288,1442.425082,,,,,,,,,,
Feni,24.851,89.3697,February,2,2022,2,19.09,9.67,27.1,76.56,0.29,100.51,485.51,1496139,18.2,73.69,1.2,4.64,99,131.660232,981.9160257,0.90 ,5.5,52,906.8976904,59.76682502,640.0836105,,,,,,,,,,
Gaibandha,24.851,89.3697,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.11,485.51,2471680,18.2,73.69,1.2,4.1,99,217.50784,1622.163584,0.90 ,5.5,52,2166.583587,142.7832748,1529.163278,,,,,,,,,,
Gazipur,23.9608,91.1115,February,2,2022,1,17.99,11.76,25.38,70.2,0.31,100.18,485.51,3548115,18.2,73.69,1.2,4.04,99,312.23412,2328.627875,0.90 ,5.5,52,1817.13929,119.754022,1282.527335,,,,,,,,,,
Gopalganj,23.9608,91.1115,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.11,485.51,1218319,18.2,73.69,1.2,4.04,99,107.212072,799.5827597,0.90 ,5.5,52,1475.924938,97.26714322,1041.700043,,,,,,,,,,
Habiganj,23.9608,91.1115,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.36,485.51,2171065,18.2,73.69,1.2,5.25,99,191.05372,1424.86996,0.90 ,5.5,52,2582.433721,170.1888383,1822.668111,,,,,,,,,,
Jamalpur,23.2513,90.8518,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,100.93,485.51,2384811,18.2,73.69,1.2,4.39,99,209.863368,1565.151459,0.90 ,5.5,52,2065.6763,136.1332323,1457.943446,,,,,,,,,,
Jashore,23.2513,90.8518,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,101.28,485.51,2876380,18.2,73.69,1.2,4.04,99,253.12144,1887.768194,0.90 ,5.5,52,2584.932745,170.3535302,1824.431909,,,,,,,,,,
Jhalokathi,23.2513,90.8518,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,101.4,485.51,709914,18.2,73.69,1.2,4.38,99,62.472432,465.9165582,0.90 ,5.5,52,738.7519126,48.68559791,521.4072067,,,,,,,,,,
Jhenaidah,24.68,88.25,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,101.36,460.2,1842573,18.7,74.66,1,4.04,99,162.146424,1209.28066,0.90 ,5.5,52,1956.105656,128.912253,1380.609064,,,,,,,,,,
Joypurhat,24.68,88.25,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,101.43,485.51,950440,18.2,73.69,1.2,4,99,83.63872,623.773772,0.90 ,5.5,52,960.2497231,63.28285736,677.739194,,,,,,,,,,
Khagrachhari,24.68,88.25,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,101.43,485.51,638967,18.2,73.69,1.2,4.64,99,56.229096,419.3540421,0.90 ,5.5,52,2855.544398,188.1875146,2015.428187,,,,,,,,,,
Khulna,22.515,91.7539,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,101.2,460.2,2407679,18.7,74.66,1,4.04,99,211.875752,1580.159728,0.90 ,5.5,52,3625.143171,238.9059978,2558.606946,,,,,,,,,,
Kishorganj,22.515,91.7539,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.76,460.2,3028706,18.7,74.66,1,4.04,99,266.526128,1987.739748,0.90 ,5.5,52,2564.920364,169.0346642,1810.307276,,,,,,,,,,
Kurigram,22.515,91.7539,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.48,460.2,2150974,18.7,74.66,1,4.1,99,189.285712,1411.684236,0.90 ,5.5,52,2275.723926,149.975896,1606.193954,,,,,,,,,,
Kushtia,23.6161,88.8263,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,100.2,460.2,2023657,18.7,74.66,1,4.04,99,178.081816,1328.126089,0.90 ,5.5,52,1614.728397,106.4146382,1139.666793,,,,,,,,,,
Lakshmipur,23.6161,88.8263,February,2,2022,1,19.09,9.67,27.1,76.56,0.29,100.12,460.2,1797761,18.7,74.66,1,4.64,99,158.202968,1179.870544,0.90 ,5.5,52,1243.732495,81.96508074,877.8198407,,,,,,,,,,
Lalmonirhat,23.6161,88.8263,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.15,460.2,1305248,18.7,74.66,1,4.1,99,114.861824,856.6342624,0.90 ,5.5,52,1274.913778,84.02000521,899.8274255,,,,,,,,,,
Madaripur,21.5641,92.0208,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,100.14,460.2,1212199,18.7,74.66,1,4.04,99,106.673512,795.5662037,0.90 ,5.5,52,1135.273595,74.81736807,801.2701204,,,,,,,,,,
Magura,21.5641,92.0208,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.44,460.2,954804,18.7,74.66,1,4.04,99,84.022752,626.6378652,0.90 ,5.5,52,1048.764435,69.11619818,740.2124115,,,,,,,,,,
Manikganj,21.5641,92.0208,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.89,460.2,1447301,18.7,74.66,1,4.04,99,127.362488,949.8636463,0.90 ,5.5,52,1374.276723,90.56827174,969.957269,,,,,,,,,,
Meherpur,23.4576,91.1809,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,101.15,460.2,1994252,18.7,74.66,1,4.04,99,175.494176,1308.827588,0.90 ,5.5,52,2678.809912,176.5402702,1890.689918,,,,,,,,,,
Moulvibazar,23.4576,91.1809,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,101.26,460.2,681331,18.7,74.66,1,5.25,99,59.957128,447.1575353,0.90 ,5.5,52,722.524676,47.61618245,509.9541086,,,,,,,,,,
Munshiganj,23.4576,91.1809,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,101.19,485.51,1502449,18.2,73.69,1.2,4.04,99,132.215512,986.0572787,0.90 ,5.5,52,932.678817,61.46586572,658.2797938,,,,,,,,,,
Mymensingh,23.8105,90.3372,February,2,2022,1,17.99,11.76,25.38,70.2,0.31,101.04,485.51,5313163,18.2,73.69,1.2,4.39,99,467.558344,3487.028877,0.90 ,5.5,52,4348.480093,286.5757092,3069.134333,,,,,,,,,,
Naogaon,23.8105,90.3372,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.64,485.51,2701906,18.2,73.69,1.2,4,99,237.767728,1773.260908,0.90 ,5.5,52,3443.903078,226.9618225,2430.688643,,,,,,,,,,
Narail,23.8105,90.3372,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.51,485.51,750425,18.2,73.69,1.2,4.04,99,66.0374,492.5039275,0.90 ,5.5,52,995.7435635,65.62199017,702.7905595,,,,,,,,,,
Narayanganj,25.6279,88.6332,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,100.11,485.51,3074078,18.2,73.69,1.2,4.04,99,270.518864,2017.517391,0.90 ,5.5,52,703.5466906,46.36548576,496.5595465,,,,,,,,,,
