District,Latitude,Longitude,Year,Yearly_cases,DENV1 ,DENV2,DENV3,DENV4,X11,X12,X13,X14,X15,X16,X17,X18,X19,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,,,,,,,,
Barishal,22.7004,90.375,2018,2,0.96,0.82,0.62,0,25.29,8.83,34.66,80.5,4450.78,0.05,321.28,2414729,21.8,73.9,1.1,4.17,91.8,212.496152,1382.915298,0.88,4.7,48,2219.580861,162.4602819,1569.121069,,,,,,,,
Bhola,22.1785,90.7101,2018,2,0.96,0.82,0.62,0,25.91,12.55,32.94,79.31,7683.4,0.02,321.28,1846351,21.8,73.9,1.1,4.17,91.8,162.478888,1057.405218,0.88,4.7,48,1948.543739,142.6219565,1377.512795,,,,,,,,
Bogura,24.851,89.3697,2018,15,7.2,6.15,4.65,0,24.96,5.78,35.55,75.5,1919.53,0.06,321.28,3539293,21.8,73.9,1.1,3.76,91.8,311.457784,2026.953101,0.88,4.7,48,2912.594162,213.1847849,2059.043194,,,,,,,,
Brahmanbaria,23.9608,91.1115,2018,18,8.64,7.38,5.58,0,24.73,7.39,35.86,79.69,2768.55,0.03,321.28,2953208,21.8,73.9,1.1,4.47,91.8,259.882304,1691.302222,0.88,4.7,48,1922.681908,140.7290224,1359.229908,,,,,,,,
Chandpur,23.2513,90.8518,2018,15,7.2,6.15,4.65,0,25.06,7.01,35.4,78.94,2779.1,0.06,321.28,2513838,21.8,73.9,1.1,4.47,91.8,221.217744,1439.675023,0.88,4.7,48,1469.437035,107.5541599,1038.810819,,,,,,,,
Chapai Nawabganj,24.68,88.25,2018,12,5.76,4.92,3.72,0,25.59,5.46,41.4,67.19,1102.15,0.08,321.28,1714249,21.8,73.9,1.1,3.76,91.8,150.853912,981.7504023,0.88,4.7,48,1685.473879,123.366788,1191.536935,,,,,,,,
Chattogram,22.515,91.7539,2018,7,3.36,2.87,2.17,0,25.11,8.19,34.2,81.19,5057.23,0.07,321.28,7913366,21.8,73.9,1.1,4.47,91.8,696.376208,4531.984708,0.88,4.7,48,4450.859261,325.7767549,3146.511652,,,,,,,,
Chuadanga,23.6161,88.8263,2018,1,0.48,0.41,0.31,0,25.31,5.15,39.18,72.25,1450.2,0.01,321.28,1174836,21.8,73.9,1.1,3.74,91.8,103.385568,672.8285772,0.88,4.7,48,1165.101675,85.27859915,823.6625292,,,,,,,,
Cox's Bazar,21.5641,92.0208,2018,41,19.68,16.81,12.71,0,26.04,15.63,30.83,79.56,8121.09,0.06,321.28,5602624,21.8,73.9,1.1,4.47,91.8,493.030912,3208.622765,0.88,4.7,48,2172.97806,159.0492306,1536.175463,,,,,,,,
Cumilla,23.4576,91.1809,2018,7,3.36,2.87,2.17,0,24.46,6.02,35.64,82.12,2863.48,0.03,321.28,2381814,21.8,73.9,1.1,4.47,91.8,209.599632,1364.064878,0.88,4.7,48,3088.030481,226.025693,2183.066981,,,,,,,,
Dhaka,23.8105,90.3372,2018,30,14.4,12.3,9.3,0,24.98,6.54,35.45,78.31,2657.81,0.02,321.28,12517360,21.8,73.9,1.1,3.87,91.8,1101.52768,7168.692072,0.88,4.7,48,1476.081489,108.040495,1043.508081,,,,,,,,
Dinajpur,25.6279,88.6332,2018,7,3.36,2.87,2.17,0,24.79,4.45,37.94,72.62,1692.77,0.05,321.28,3109626,21.8,73.9,1.1,3.87,91.8,273.647088,1780.88281,0.88,4.7,48,3460.164551,253.2637212,2446.145214,,,,,,,,
Faridpur,23.5424,89.6309,2018,20,9.6,8.2,6.2,0,25.12,5.68,38.01,75.19,1935.35,0.06,321.28,1988695,21.8,73.9,1.1,3.87,91.8,175.00516,1138.925627,0.88,4.7,48,2043.68922,149.5860469,1444.775395,,,,,,,,
Feni,22.9409,91.4067,2018,7,3.36,2.87,2.17,0,24.59,6.08,34.33,83.12,4013.09,0.04,321.28,1496139,21.8,73.9,1.1,4.47,91.8,131.660232,856.8388053,0.88,4.7,48,906.8976904,66.37958409,641.1265742,,,,,,,,
Gaibandha,25.3297,89.543,2018,0,0,0,0,0,25.03,5.75,35.85,74.06,2019.73,0.11,321.28,2471680,21.8,73.9,1.1,3.87,91.8,217.50784,1415.531136,0.88,4.7,48,2166.583587,158.5811927,1531.654924,,,,,,,,
Gazipur,24.0958,90.4125,2018,38,18.24,15.58,11.78,0,24.98,6.54,35.45,78.31,2657.81,0.02,321.28,3548115,21.8,73.9,1.1,3.87,91.8,312.23412,2032.005461,0.88,4.7,48,1817.13929,133.0039227,1284.617108,,,,,,,,
Gopalganj,23.0488,89.8879,2018,2,0.96,0.82,0.62,0,25.14,6.06,37.57,77.38,2515.43,0.06,321.28,1218319,21.8,73.9,1.1,3.87,91.8,107.212072,697.7312913,0.88,4.7,48,1475.924938,108.0290364,1043.397408,,,,,,,,
Habiganj,24.4771,91.4507,2018,2,0.96,0.82,0.62,0,24.77,6.61,34.99,79.94,3723.05,0.02,321.28,2171065,21.8,73.9,1.1,4.94,91.8,191.05372,1243.368926,0.88,4.7,48,2582.433721,189.01898,1825.637999,,,,,,,,
Jamalpur,25.0831,89.7853,2018,8,3.84,3.28,2.48,0,24.8,6.99,34.98,77.06,2541.8,0.03,321.28,2384811,21.8,73.9,1.1,3.85,91.8,209.863368,1365.78126,0.88,4.7,48,2065.6763,151.195372,1460.319045,,,,,,,,
Jashore,23.1634,89.2182,2018,24,11.52,9.84,7.44,0,25.25,5.51,38.57,75.12,2003.91,0.05,321.28,2876380,21.8,73.9,1.1,3.74,91.8,253.12144,1647.302826,0.88,4.7,48,2584.932745,189.2018938,1827.404671,,,,,,,,
